Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Pittsburgh Steelers,,D,4600,PIT,@JAX,18.0,PIT by 10,3.1,0.6,0.8,241,100,22.1,6.3,12.3,10.3,10.3,5.0,15.7,9.6,2.1,0.0,0.0
Los Angeles Chargers,,D,4000,LAC,NYJ,18.8,LAC by 8.5,2.9,0.2,0.9,167,99,12.8,10.3,2.0,4.1,4.1,1.2,7.0,8.6,2.1,0.0,0.0
Tampa Bay Buccaneers,,D,3600,TB,LAR,22.3,TB by 4,1.4,0.7,0.7,261,134,24.0,6.6,4.3,8.2,8.2,1.6,14.8,7.3,2.0,0.0,0.0
Baltimore Ravens,,D,3500,BAL,TEN,21.8,BAL by 6,1.5,0.1,0.4,229,150,24.4,3.9,6.3,10.6,10.6,2.9,18.2,7.0,2.0,0.0,0.0
Miami Dolphins,,D,3400,MIA,@DEN,21.0,MIA by 3.5,2.6,0.6,1.8,227,107,18.7,10.4,12.3,9.4,9.4,2.7,16.2,8.1,2.4,0.0,0.0
Kansas City Chiefs,,D,3400,KC,@LV,24.3,KC by 8,1.6,0.8,0.2,231,139,28.3,3.3,11.3,8.3,8.3,-0.1,16.7,6.3,1.9,0.0,0.0
Minnesota Vikings,,D,3300,MIN,DAL,20.8,MIN by 7,2.9,1.3,0.9,285,110,22.0,10.3,7.3,4.0,4.0,-0.3,8.3,7.6,2.3,0.0,0.0
New Orleans Saints,,D,3200,NO,ATL,22.8,NO by 4.5,2.1,0.2,0.6,290,107,26.3,3.0,12.3,7.0,7.0,-0.1,14.1,6.8,2.1,0.0,0.0
Indianapolis Colts,,D,3100,IND,GB,24.8,IND by 1.5,1.2,0.2,0.3,274,121,29.9,2.3,10.0,10.8,10.8,3.6,17.9,5.1,1.6,0.0,0.0
New England Patriots,,D,3000,NE,@HOU,23.8,NE by 1.5,2.9,0.4,0.6,267,88,22.2,5.8,3.7,6.3,6.3,2.3,10.4,6.9,2.3,0.0,0.0
Cleveland Browns,,D,3000,CLE,PHI,22.0,CLE by 3,3.9,0.6,1.3,209,123,21.0,8.0,5.3,5.9,5.9,1.0,10.7,7.2,2.4,0.0,0.0
Washington Football Team,,D,2900,WAS,CIN,22.5,WAS by 1.5,3.6,0.8,0.6,252,105,22.7,8.1,7.3,5.8,5.8,-0.3,11.8,6.9,2.4,0.0,0.0
Philadelphia Eagles,,D,2800,PHI,@CLE,25.0,CLE by 3,1.3,0.3,0.8,189,159,23.1,5.9,10.7,7.7,7.7,0.4,14.9,6.4,2.3,0.0,0.0
Green Bay Packers,,D,2800,GB,@IND,26.3,IND by 1.5,1.0,0.2,0.8,262,106,24.4,4.8,4.0,4.7,4.7,0.9,8.5,5.2,1.9,0.0,0.0
Carolina Panthers,,D,2700,CAR,DET,23.3,CAR by 1.5,2.4,0.1,0.9,259,102,25.2,5.6,2.3,3.3,3.3,0.1,6.5,6.0,2.2,0.0,0.0
Detroit Lions,,D,2700,DET,@CAR,24.8,CAR by 1.5,2.1,0.3,0.7,246,105,23.3,4.3,2.7,2.6,2.6,-0.7,5.8,6.2,2.3,0.0,0.0
Houston Texans,,D,2600,HOU,NE,25.3,NE by 1.5,1.8,0.4,1.2,195,161,20.3,6.9,2.3,2.9,2.9,-0.3,6.1,5.7,2.2,0.0,0.0
Los Angeles Rams,,D,2600,LAR,@TB,26.3,TB by 4,1.4,0.5,0.7,265,104,28.8,5.0,11.7,8.1,8.1,2.7,13.6,5.9,2.3,0.0,0.0
Arizona Cardinals,,D,2600,ARI,@SEA,30.3,SEA by 3,3.3,0.4,1.1,289,116,32.0,5.1,4.0,6.0,6.0,1.7,10.3,4.7,1.8,0.0,0.0
Tennessee Titans,,D,2500,TEN,@BAL,27.8,BAL by 6,2.6,0.6,0.7,184,164,25.8,5.9,4.3,4.0,4.0,-1.2,9.2,4.4,1.8,0.0,0.0
Denver Broncos,,D,2400,DEN,MIA,24.5,MIA by 3.5,1.6,0.3,0.8,219,99,26.6,3.3,1.3,4.3,4.3,-0.3,9.0,6.1,2.5,0.0,0.0
Atlanta Falcons,,D,2300,ATL,@NO,27.3,NO by 4.5,1.4,0.7,0.3,252,121,29.4,2.2,3.7,2.8,2.8,0.0,5.6,5.4,2.3,0.0,0.0
